"Juba","Juba","4.8500","31.6000","South Sudan","SS","SSD","Central Equatoria","primary","372410","1728444337"
"Bor","Bor","6.2167","31.5500","South Sudan","SS","SSD","Jonglei","admin","315351","1728186782"
"Yei","Yei","4.0904","30.6800","South Sudan","SS","SSD","Central Equatoria","","185000","1728607274"
"Wau","Wau","7.7000","27.9833","South Sudan","SS","SSD","Western Bahr el Ghazal","admin","163442","1728877501"
"Malakal","Malakal","9.5333","31.6500","South Sudan","SS","SSD","Upper Nile","admin","147450","1728299711"
"Aweil","Aweil","8.7666","27.4000","South Sudan","SS","SSD","Northern Bahr el Ghazal","admin","46705","1728097802"
"Yambio","Yambio","4.5705","28.4163","South Sudan","SS","SSD","Western Equatoria","admin","40382","1728463035"
"Rumbek","Rumbek","6.8000","29.6833","South Sudan","SS","SSD","Lakes","admin","32083","1728842249"
"Torit","Torit","4.4167","32.5667","South Sudan","SS","SSD","Eastern Equatoria","admin","17957","1728698486"
"Bentiu","Bentiu","9.2500","29.8000","South Sudan","SS","SSD","Unity","admin","7781","1728684421"
"Kuacjok","Kuacjok","8.3100","27.9900","South Sudan","SS","SSD","Warrap","admin","","1728713745"
"Gogrial","Gogrial","8.5337","28.1167","South Sudan","SS","SSD","Warrap","","50065","1728342889"
"Maridi","Maridi","4.9151","29.4769","South Sudan","SS","SSD","Western Equatoria","","14224","1728685965"
"Kapoeta","Kapoeta","4.7721","33.5902","South Sudan","SS","SSD","Eastern Equatoria","","7042","1728483282"
"Melut","Melut","10.4400","32.2000","South Sudan","SS","SSD","Upper Nile","","6407","1728493346"
"Nimule","Nimule","3.6000","32.0600","South Sudan","SS","SSD","Eastern Equatoria","","242","1728476966"
"Nasir","Nasir","8.6004","33.0666","South Sudan","SS","SSD","Upper Nile","","1741","1728210480"
