"San Salvador","San Salvador","13.6989","-89.1914","El Salvador","SV","SLV","San Salvador","primary","567698","1222647454"
"Usulután","Usulutan","13.3500","-88.4500","El Salvador","SV","SLV","Usulután","admin","378606","1222984157"
"Santa Ana","Santa Ana","13.9833","-89.5333","El Salvador","SV","SLV","Santa Ana","admin","270413","1222021362"
"San Miguel","San Miguel","13.4833","-88.1833","El Salvador","SV","SLV","San Miguel","admin","218410","1222009747"
"Mejicanos","Mejicanos","13.7403","-89.2131","El Salvador","SV","SLV","San Salvador","","140751","1222243504"
"Santa Tecla","Santa Tecla","13.6742","-89.2899","El Salvador","SV","SLV","La Libertad","admin","135483","1222613306"
"Apopa","Apopa","13.8000","-89.1833","El Salvador","SV","SLV","San Salvador","","131286","1222101845"
"Delgado","Delgado","13.7167","-89.1667","El Salvador","SV","SLV","San Salvador","","120200","1222858341"
"Sonsonate","Sonsonate","13.7167","-89.7167","El Salvador","SV","SLV","Sonsonate","admin","110501","1222380208"
"Ahuachapán","Ahuachapan","13.9214","-89.8450","El Salvador","SV","SLV","Ahuachapán","admin","110511","1222480039"
"Zacatecoluca","Zacatecoluca","13.5000","-88.8667","El Salvador","SV","SLV","La Paz","admin","75100","1222647953"
"Cuscatancingo","Cuscatancingo","13.7333","-89.1833","El Salvador","SV","SLV","San Salvador","","66400","1222934169"
"San Vicente","San Vicente","13.6333","-88.8000","El Salvador","SV","SLV","San Vicente","admin","53213","1222913273"
"Cojutepeque","Cojutepeque","13.7167","-88.9333","El Salvador","SV","SLV","Cuscatlán","admin","48411","1222979186"
"Sonzacate","Sonzacate","13.7342","-89.7147","El Salvador","SV","SLV","Sonsonate","","25005","1222944408"
"La Unión","La Union","13.3369","-87.8439","El Salvador","SV","SLV","La Unión","admin","29733","1222307415"
"Chalatenango","Chalatenango","14.0333","-88.9333","El Salvador","SV","SLV","Chalatenango","admin","29271","1222515741"
"Sensuntepeque","Sensuntepeque","13.8667","-88.6333","El Salvador","SV","SLV","Cabañas","admin","26989","1222098918"
"San Francisco","San Francisco","13.7000","-88.1000","El Salvador","SV","SLV","Morazán","admin","21049","1222399599"
"Colón","Colon","13.7167","-89.3667","El Salvador","SV","SLV","La Libertad","","96989","1222369620"
"Acajutla","Acajutla","13.5928","-89.8275","El Salvador","SV","SLV","Sonsonate","","92000","1222402975"
"Chalchuapa","Chalchuapa","13.9833","-89.6833","El Salvador","SV","SLV","Santa Ana","","90000","1222559007"
"Quezaltepeque","Quezaltepeque","13.8312","-89.2722","El Salvador","SV","SLV","La Libertad","","56181","1222731128"
"Nahuizalco","Nahuizalco","13.7833","-89.7333","El Salvador","SV","SLV","Sonsonate","","49081","1222682318"
"Jiquilisco","Jiquilisco","13.3167","-88.5833","El Salvador","SV","SLV","Usulután","","47784","1222869394"
"San Pedro Perulapán","San Pedro Perulapan","13.7667","-89.0333","El Salvador","SV","SLV","Cuscatlán","","44730","1222471656"
"Panchimalco","Panchimalco","13.6094","-89.1792","El Salvador","SV","SLV","San Salvador","","41260","1222019251"
"Ciudad Barrios","Ciudad Barrios","13.7667","-88.2667","El Salvador","SV","SLV","San Miguel","","40500","1222390192"
"Santiago Nonualco","Santiago Nonualco","13.5167","-88.9500","El Salvador","SV","SLV","La Paz","","39887","1222183134"
"Armenia","Armenia","13.7500","-89.5000","El Salvador","SV","SLV","Sonsonate","","34912","1222071319"
"Atiquizaya","Atiquizaya","13.9667","-89.7500","El Salvador","SV","SLV","Ahuachapán","","33587","1222716346"
"Tacuba","Tacuba","13.9000","-89.9333","El Salvador","SV","SLV","Ahuachapán","","29858","1222693059"
"Juayúa","Juayua","13.8436","-89.7460","El Salvador","SV","SLV","Sonsonate","","24465","1222293042"
"Guaymango","Guaymango","13.7500","-89.8333","El Salvador","SV","SLV","Ahuachapán","","19775","1222351635"
"Puerto El Triunfo","Puerto El Triunfo","13.2833","-88.5500","El Salvador","SV","SLV","Usulután","","19600","1222465303"
"Santiago de María","Santiago de Maria","13.4833","-88.4667","El Salvador","SV","SLV","Usulután","","18201","1222971304"
"Concepción de Ataco","Concepcion de Ataco","13.8667","-89.8500","El Salvador","SV","SLV","Ahuachapán","","18101","1222271937"
"San Alejo","San Alejo","13.4333","-87.9667","El Salvador","SV","SLV","La Unión","","17598","1222190285"
"Anamorós","Anamoros","13.7333","-87.8667","El Salvador","SV","SLV","La Unión","","16594","1222875440"
"Metapán","Metapan","14.3333","-89.4500","El Salvador","SV","SLV","Santa Ana","","16620","1222716890"
"El Paisnal","El Paisnal","13.9667","-89.2167","El Salvador","SV","SLV","San Salvador","","14551","1222184186"
"Tepecoyo","Tepecoyo","13.7003","-89.4678","El Salvador","SV","SLV","La Libertad","","14322","1222039134"
"Cuisnahuat","Cuisnahuat","13.6333","-89.6000","El Salvador","SV","SLV","Sonsonate","","12676","1222033035"
"Teotepeque","Teotepeque","13.5853","-89.5183","El Salvador","SV","SLV","La Libertad","","12320","1222208271"
"Nueva Guadalupe","Nueva Guadalupe","13.5333","-88.3500","El Salvador","SV","SLV","San Miguel","","8905","1222469128"
"Jocoro","Jocoro","13.6167","-88.0167","El Salvador","SV","SLV","Morazán","","10060","1222901966"
"Caluco","Caluco","13.7167","-89.6667","El Salvador","SV","SLV","Sonsonate","","9139","1222488164"
"Estanzuelas","Estanzuelas","13.6500","-88.5000","El Salvador","SV","SLV","Usulután","","9015","1222473531"
"San Juan Talpa","San Juan Talpa","13.5000","-89.0833","El Salvador","SV","SLV","La Paz","","7707","1222233727"
"El Porvenir","El Porvenir","14.0207","-89.6471","El Salvador","SV","SLV","Santa Ana","","8232","1222201252"
"Agua Caliente","Agua Caliente","14.1667","-89.2167","El Salvador","SV","SLV","Chalatenango","","8261","1222781714"
"El Divisadero","El Divisadero","13.6000","-88.0500","El Salvador","SV","SLV","Morazán","","8021","1222453166"
"Santo Domingo de Guzmán","Santo Domingo de Guzman","13.7161","-89.7978","El Salvador","SV","SLV","Sonsonate","","7055","1222092169"
"El Triunfo","El Triunfo","13.5589","-88.4300","El Salvador","SV","SLV","Usulután","","6924","1222961380"
"San Gerardo","San Gerardo","13.8000","-88.4000","El Salvador","SV","SLV","San Miguel","","6079","1222847774"
