"Port of Spain","Port of Spain","10.6667","-61.5167","Trinidad And Tobago","TT","TTO","Port of Spain","primary","37074","1780670676"
"Chaguanas","Chaguanas","10.5144","-61.4075","Trinidad And Tobago","TT","TTO","Chaguanas","admin","83489","1780795054"
"San Fernando","San Fernando","10.2833","-61.4667","Trinidad And Tobago","TT","TTO","San Fernando","admin","55419","1780361077"
"Couva","Couva","10.4167","-61.4500","Trinidad And Tobago","TT","TTO","Couva/Tabaquite/Talparo","admin","48858","1780835692"
"Tunapuna","Tunapuna","10.6333","-61.3833","Trinidad And Tobago","TT","TTO","Tunapuna/Piarco","admin","17650","1780508155"
"Siparia","Siparia","10.1333","-61.5000","Trinidad And Tobago","TT","TTO","Siparia","admin","10254","1780418671"
"Arima","Arima","10.6374","-61.2823","Trinidad And Tobago","TT","TTO","Arima","admin","","1780753308"
"Scarborough","Scarborough","11.1811","-60.7333","Trinidad And Tobago","TT","TTO","Tobago","admin","","1780875399"
"Diego Martin","Diego Martin","10.7167","-61.5667","Trinidad And Tobago","TT","TTO","Diego Martin","admin","","1780534918"
"Point Fortin","Point Fortin","10.1741","-61.6841","Trinidad And Tobago","TT","TTO","Point Fortin","admin","","1780702349"
"Aranguez","Aranguez","10.6472","-61.4461","Trinidad And Tobago","TT","TTO","San Juan/Laventille","admin","","1780000001"
"Debe","Debe","10.2000","-61.4500","Trinidad And Tobago","TT","TTO","Penal/Debe","admin","","1780510715"
"Princes Town","Princes Town","10.2667","-61.3833","Trinidad And Tobago","TT","TTO","Princes Town","admin","","1780714817"
"Sangre Grande","Sangre Grande","10.5667","-61.1333","Trinidad And Tobago","TT","TTO","Sangre Grande","admin","","1780469686"
"Rio Claro","Rio Claro","10.3059","-61.1756","Trinidad And Tobago","TT","TTO","Mayaro/Rio Claro","admin","","1780883666"
"Laventille","Laventille","10.6500","-61.4833","Trinidad And Tobago","TT","TTO","San Juan/Laventille","","21454","1780201146"
"Saint Joseph","Saint Joseph","10.6500","-61.4167","Trinidad And Tobago","TT","TTO","Tunapuna/Piarco","","14376","1780256893"
"San Juan","San Juan","10.6500","-61.4500","Trinidad And Tobago","TT","TTO","San Juan/Laventille","","13797","1780554728"
