"Kyiv","Kyiv","50.4500","30.5236","Ukraine","UA","UKR","Kyyiv, Misto","primary","2963199","1804382913"
"Kharkiv","Kharkiv","50.0000","36.2292","Ukraine","UA","UKR","Kharkivs'ka Oblast'","admin","1446107","1804588111"
"Odesa","Odesa","46.4775","30.7326","Ukraine","UA","UKR","Odes'ka Oblast'","admin","1017699","1804178102"
"Dnipro","Dnipro","48.4675","35.0400","Ukraine","UA","UKR","Dnipropetrovs'ka Oblast'","admin","980948","1804152933"
"Donetsk","Donetsk","48.0089","37.8042","Ukraine","UA","UKR","Donets'ka Oblast'","admin","929063","1804963805"
"Zaporizhzhia","Zaporizhzhia","47.8378","35.1383","Ukraine","UA","UKR","Zaporiz'ka Oblast'","admin","741717","1804644752"
"Lviv","Lviv","49.8419","24.0315","Ukraine","UA","UKR","L'vivs'ka Oblast'","admin","724314","1804939658"
"Kryvyi Rih","Kryvyi Rih","47.9086","33.3433","Ukraine","UA","UKR","Dnipropetrovs'ka Oblast'","minor","629695","1804544901"
"Sevastopol","Sevastopol","44.6000","33.5333","Ukraine","UA","UKR","Sevastopol', Misto","admin","509992","1804806030"
"Mykolaiv","Mykolaiv","46.9667","32.0000","Ukraine","UA","UKR","Mykolayivs'ka Oblast'","admin","498748","1804398395"
"Mariupol","Mariupol","47.1306","37.5639","Ukraine","UA","UKR","Donets'ka Oblast'","","449498","1804630021"
"Luhansk","Luhansk","48.5833","39.3333","Ukraine","UA","UKR","Luhans'ka Oblast'","admin","417990","1804688214"
"Vinnytsia","Vinnytsia","49.2167","28.4333","Ukraine","UA","UKR","Vinnyts'ka Oblast'","admin","371855","1804658571"
"Simferopol","Simferopol","44.9484","34.1000","Ukraine","UA","UKR","Krym, Avtonomna Respublika","admin","341799","1804665958"
"Makiivka","Makiivka","48.0556","37.9611","Ukraine","UA","UKR","Donets'ka Oblast'","","343158","1804926154"
"Poltava","Poltava","49.5744","34.5686","Ukraine","UA","UKR","Poltavs'ka Oblast'","admin","317847","1804547489"
"Chernihiv","Chernihiv","51.4939","31.2947","Ukraine","UA","UKR","Chernihivs'ka Oblast'","admin","294522","1804565996"
"Kherson","Kherson","46.6333","32.6000","Ukraine","UA","UKR","Khersons'ka Oblast'","admin","291428","1804514036"
"Cherkasy","Cherkasy","49.4444","32.0597","Ukraine","UA","UKR","Cherkas'ka Oblast'","admin","276360","1804459212"
"Khmelnytskyi","Khmelnytskyi","49.4200","27.0000","Ukraine","UA","UKR","Khmel'nyts'ka Oblast'","admin","274176","1804347108"
"Zhytomyr","Zhytomyr","50.2544","28.6578","Ukraine","UA","UKR","Zhytomyrs'ka Oblast'","admin","264452","1804540656"
"Chernivtsi","Chernivtsi","48.2908","25.9344","Ukraine","UA","UKR","Chernivets'ka Oblast'","admin","266550","1804652872"
"Sumy","Sumy","50.9068","34.7992","Ukraine","UA","UKR","Sums'ka Oblast'","admin","265758","1804489982"
"Horlivka","Horlivka","48.3336","38.0925","Ukraine","UA","UKR","Donets'ka Oblast'","minor","256714","1804235146"
"Rivne","Rivne","50.6197","26.2514","Ukraine","UA","UKR","Rivnens'ka Oblast'","admin","246574","1804144712"
"Ivano-Frankivsk","Ivano-Frankivsk","48.9228","24.7106","Ukraine","UA","UKR","Ivano-Frankivs'ka Oblast'","admin","236602","1804208152"
"Kamianske","Kamianske","48.5076","34.6132","Ukraine","UA","UKR","Dnipropetrovs'ka Oblast'","minor","235066","1804033242"
"Kropyvnytskyi","Kropyvnytskyi","48.5103","32.2667","Ukraine","UA","UKR","Kirovohrads'ka Oblast'","admin","227413","1804374492"
"Ternopil","Ternopil","49.5667","25.6000","Ukraine","UA","UKR","Ternopil's'ka Oblast'","admin","218653","1804000146"
"Lutsk","Lutsk","50.7478","25.3244","Ukraine","UA","UKR","Volyns'ka Oblast'","admin","216505","1804014744"
"Kremenchuk","Kremenchuk","49.0775","33.4239","Ukraine","UA","UKR","Poltavs'ka Oblast'","minor","220174","1804343754"
"Bila Tserkva","Bila Tserkva","49.7956","30.1167","Ukraine","UA","UKR","Kyyivs'ka Oblast'","minor","208944","1804758853"
"Kramatorsk","Kramatorsk","48.7208","37.5556","Ukraine","UA","UKR","Donets'ka Oblast'","","159445","1804461469"
"Melitopol","Melitopol","46.8333","35.3667","Ukraine","UA","UKR","Zaporiz'ka Oblast'","minor","154992","1804906240"
"Sievierodonetsk","Sievierodonetsk","48.9500","38.4833","Ukraine","UA","UKR","Luhans'ka Oblast'","minor","150000","1804577024"
"Kerch","Kerch","45.3386","36.4681","Ukraine","UA","UKR","Krym, Avtonomna Respublika","","149566","1804437456"
"Drohobych","Drohobych","49.3500","23.5000","Ukraine","UA","UKR","L'vivs'ka Oblast'","minor","124269","1804782563"
"Khrustalnyi","Khrustalnyi","48.1214","38.9453","Ukraine","UA","UKR","Luhans'ka Oblast'","","124000","1804368412"
"Uzhhorod","Uzhhorod","48.6239","22.2950","Ukraine","UA","UKR","Zakarpats'ka Oblast'","admin","114897","1804851697"
"Berdiansk","Berdiansk","46.7598","36.7845","Ukraine","UA","UKR","Zaporiz'ka Oblast'","minor","114205","1804599785"
"Sloviansk","Sloviansk","48.8700","37.6250","Ukraine","UA","UKR","Donets'ka Oblast'","","113196","1804877044"
"Nikopol","Nikopol","47.5772","34.3575","Ukraine","UA","UKR","Dnipropetrovs'ka Oblast'","minor","110669","1804000135"
"Pavlohrad","Pavlohrad","48.5200","35.8700","Ukraine","UA","UKR","Dnipropetrovs'ka Oblast'","minor","106082","1804162854"
"Yevpatoriia","Yevpatoriia","45.2000","33.3583","Ukraine","UA","UKR","Krym, Avtonomna Respublika","","106158","1804279364"
"Alchevsk","Alchevsk","48.4672","38.7983","Ukraine","UA","UKR","Luhans'ka Oblast'","minor","105398","1804025187"
"Brovary","Brovary","50.5114","30.7903","Ukraine","UA","UKR","Kyyivs'ka Oblast'","minor","102856","1804386597"
