"Ho Chi Minh City","Ho Chi Minh City","10.8167","106.6333","Vietnam","VN","VNM","Hồ Chí Minh","admin","13954000","1704774326"
"Hanoi","Hanoi","21.0245","105.8412","Vietnam","VN","VNM","Hà Nội","primary","8246600","1704413791"
"Haiphong","Haiphong","20.8000","106.6667","Vietnam","VN","VNM","Hải Phòng","admin","2103500","1704000623"
"Cần Thơ","Can Tho","10.0333","105.7833","Vietnam","VN","VNM","Cần Thơ","admin","1237300","1704783472"
"Biên Hòa","Bien Hoa","10.9508","106.8221","Vietnam","VN","VNM","Đồng Nai","admin","1104000","1704863046"
"Thủ Đức","Thu Duc","10.7924","106.7518","Vietnam","VN","VNM","Hồ Chí Minh","minor","1013795","1704361621"
"Quảng Hà","Quang Ha","16.0600","108.2500","Vietnam","VN","VNM","Quảng Nam","","1000000","1704966442"
"Huế","Hue","16.4637","107.5908","Vietnam","VN","VNM","Thừa Thiên-Huế","admin","652572","1704016023"
"Bắc Ninh","Bac Ninh","21.1861","106.0763","Vietnam","VN","VNM","Bắc Ninh","admin","520000","1704025181"
"Hải Dương","Hai Duong","20.9399","106.3309","Vietnam","VN","VNM","Hải Dương","admin","507469","1704909566"
"Vinh","Vinh","18.6733","105.6922","Vietnam","VN","VNM","Nghệ An","admin","490000","1704960059"
"Thanh Hóa","Thanh Hoa","19.8075","105.7764","Vietnam","VN","VNM","Thanh Hóa","admin","393294","1704016079"
"Nha Trang","Nha Trang","12.2495","109.1908","Vietnam","VN","VNM","Khánh Hòa","admin","392279","1704497901"
"Nam Định","Nam Dinh","20.4200","106.1683","Vietnam","VN","VNM","Nam Định","admin","352108","1704906277"
"Buôn Ma Thuột","Buon Ma Thuot","12.6667","108.0500","Vietnam","VN","VNM","Đắk Lắk","admin","340000","1704542086"
"Thái Nguyên","Thai Nguyen","21.6000","105.8500","Vietnam","VN","VNM","Thái Nguyên","admin","330000","1704613715"
"Vũng Tàu","Vung Tau","10.4042","107.1417","Vietnam","VN","VNM","Bà Rịa-Vũng Tàu","admin","327000","1704581438"
"Cà Mau","Ca Mau","9.1833","105.1500","Vietnam","VN","VNM","Cà Mau","admin","315270","1704320474"
"Quy Nhơn","Quy Nhon","13.7696","109.2314","Vietnam","VN","VNM","Bình Định","admin","311000","1704056461"
"Sóc Trăng","Soc Trang","9.6000","105.9719","Vietnam","VN","VNM","Sóc Trăng","admin","300000","1704758756"
"Long Xuyên","Long Xuyen","10.3686","105.4234","Vietnam","VN","VNM","An Giang","admin","278658","1704453892"
"Việt Trì","Viet Tri","21.3136","105.3947","Vietnam","VN","VNM","Phú Thọ","admin","277539","1704332956"
"Thái Bình","Thai Binh","20.4461","106.3422","Vietnam","VN","VNM","Thái Bình","admin","268167","1704716027"
"Quảng Ngãi","Quang Ngai","15.1206","108.7922","Vietnam","VN","VNM","Quảng Ngãi","admin","260252","1704029499"
"Ấp Đa Lợi","Ap Da Loi","11.9304","108.4200","Vietnam","VN","VNM","Lâm Đồng","","256019","1704613422"
"Rạch Giá","Rach Gia","10.0125","105.0808","Vietnam","VN","VNM","Kiến Giang","admin","250660","1704872008"
"Thủ Dầu Một","Thu Dau Mot","11.0042","106.6583","Vietnam","VN","VNM","Bình Dương","admin","244277","1704890399"
"Tuy Hòa","Tuy Hoa","13.0869","109.3086","Vietnam","VN","VNM","Phú Yên","admin","242840","1704697424"
"Bạc Liêu","Bac Lieu","9.2833","105.7167","Vietnam","VN","VNM","Bạc Liêu","admin","225000","1704298745"
"Sa Đéc","Sa Dec","10.3105","105.7397","Vietnam","VN","VNM","Đồng Tháp","minor","213610","1704983576"
"Phan Thiết","Phan Thiet","10.9375","108.1583","Vietnam","VN","VNM","Bình Thuận","admin","205333","1704221456"
"Sơn Tây","Son Tay","21.1382","105.5050","Vietnam","VN","VNM","Hà Nội","minor","189547","1704714941"
"Phan Rang-Tháp Chàm","Phan Rang-Thap Cham","11.5643","108.9886","Vietnam","VN","VNM","Ninh Thuận","admin","179773","1704094609"
"Hạ Long","Ha Long","20.9516","107.0852","Vietnam","VN","VNM","Quảng Ninh","admin","172915","1704379547"
"Hà Tĩnh","Ha Tinh","18.3431","105.9058","Vietnam","VN","VNM","Hà Tĩnh","admin","165396","1704544061"
"Đồng Hới","Dong Hoi","17.4833","106.6000","Vietnam","VN","VNM","Quảng Bình","admin","160325","1704323043"
"Châu Đốc","Chau Doc","10.7000","105.1167","Vietnam","VN","VNM","An Giang","","157298","1704020910"
"Cẩm Phả","Cam Pha","21.0065","107.2726","Vietnam","VN","VNM","Quảng Ninh","minor","156000","1704985016"
"Cao Lãnh","Cao Lanh","10.4603","105.6331","Vietnam","VN","VNM","Đồng Tháp","admin","149837","1704276832"
"Lạng Sơn","Lang Son","21.8478","106.7578","Vietnam","VN","VNM","Lạng Sơn","admin","148000","1704004349"
"Cam Ranh","Cam Ranh","11.9020","109.2207","Vietnam","VN","VNM","Khánh Hòa","","146771","1704104189"
"Pleiku","Pleiku","13.9715","108.0147","Vietnam","VN","VNM","Gia Lai","admin","146073","1704220080"
"Tân An","Tan An","10.5322","106.4042","Vietnam","VN","VNM","Long An","admin","137498","1704199290"
"Trà Vinh","Tra Vinh","9.9369","106.3411","Vietnam","VN","VNM","Trà Vinh","admin","131360","1704929966"
"Ninh Bình","Ninh Binh","20.2581","105.9797","Vietnam","VN","VNM","Ninh Bình","admin","130517","1704442748"
"Mỹ Tho","My Tho","10.3543","106.3640","Vietnam","VN","VNM","Tiền Giang","admin","124143","1704000376"
