"Sanaa","Sanaa","15.3500","44.2000","Yemen","YE","YEM","Amānat al ‘Āşimah","primary","2957000","1887750814"
"Ta‘izz","Ta`izz","13.5789","44.0219","Yemen","YE","YEM","Ta‘izz","admin","615467","1887324526"
"Al Ḩudaydah","Al Hudaydah","14.8022","42.9511","Yemen","YE","YEM","Al Ḩudaydah","admin","548433","1887984890"
"Aden","Aden","12.8000","45.0333","Yemen","YE","YEM","‘Adan","admin","507355","1887867886"
"Ibb","Ibb","13.9667","44.1667","Yemen","YE","YEM","Ibb","admin","350864","1887321491"
"Ibb","Ibb","13.9759","44.1709","Yemen","YE","YEM","Ibb","","234837","1887036494"
"Dhamār","Dhamar","14.5500","44.4017","Yemen","YE","YEM","Dhamār","admin","160114","1887135215"
"Al Mukallā","Al Mukalla","14.5333","49.1333","Yemen","YE","YEM","Ḩaḑramawt","admin","144137","1887202594"
"Ash Shaykh ‘Uthmān","Ash Shaykh `Uthman","12.8866","45.0279","Yemen","YE","YEM","‘Adan","minor","105248","1887195126"
"Tarīm","Tarim","16.0500","49.0000","Yemen","YE","YEM","Ḩaḑramawt","minor","105552","1887801013"
"Şa‘dah","Sa`dah","16.9400","43.7592","Yemen","YE","YEM","Şa‘dah","admin","70203","1887513055"
"Zinjibār","Zinjibar","13.1283","45.3803","Yemen","YE","YEM","Abyan","admin","70801","1887645956"
"Ḩajjah","Hajjah","15.6950","43.5975","Yemen","YE","YEM","Ḩajjah","admin","46568","1887522445"
"Al Bayḑā'","Al Bayda'","13.9790","45.5740","Yemen","YE","YEM","Al Bayḑā'","admin","37821","1887788283"
"‘Ataq","`Ataq","14.5500","46.8000","Yemen","YE","YEM","Shabwah","admin","37315","1887172893"
"Laḩij","Lahij","13.0500","44.8833","Yemen","YE","YEM","Laḩij","admin","30661","1887871834"
"Al Ghayz̧ah","Al Ghayzah","16.2394","52.1638","Yemen","YE","YEM","Al Mahrah","admin","27404","1887000479"
"Ma'rib","Ma'rib","15.4228","45.3375","Yemen","YE","YEM","Ma'rib","admin","16794","1887153216"
"Ḩadībū","Hadibu","12.6519","54.0239","Yemen","YE","YEM","Arkhabīl Suquţrá","admin","11396","1887452377"
"Al Maḩwīt","Al Mahwit","15.4694","43.5453","Yemen","YE","YEM","Al Maḩwīt","admin","10593","1887764813"
"‘Amrān","`Amran","15.6594","43.9439","Yemen","YE","YEM","‘Amrān","admin","","1887433410"
"Aḑ Ḑāli‘","Ad Dali`","13.6957","44.7314","Yemen","YE","YEM","Aḑ Ḑāli‘","admin","","1887607369"
"Al Jabīn","Al Jabin","14.7040","43.5990","Yemen","YE","YEM","Raymah","admin","","1887910100"
"Al Ḩazm","Al Hazm","16.1641","44.7769","Yemen","YE","YEM","Al Jawf","admin","","1887549671"
"Say'ūn","Say'un","15.9430","48.7873","Yemen","YE","YEM","Ḩaḑramawt","minor","68747","1887142998"
"Ash Shiḩr","Ash Shihr","14.7608","49.6069","Yemen","YE","YEM","Ḩaḑramawt","minor","68313","1887657562"
"Zabīd","Zabid","14.2000","43.3167","Yemen","YE","YEM","Al Ḩudaydah","minor","50781","1887877995"
"Bājil","Bajil","15.0583","43.2850","Yemen","YE","YEM","Al Ḩudaydah","minor","46005","1887795650"
"Radā‘","Rada`","14.4295","44.8341","Yemen","YE","YEM","Al Bayḑā'","minor","45233","1887090855"
"Bayt al Faqīh","Bayt al Faqih","14.5167","43.3167","Yemen","YE","YEM","Al Ḩudaydah","minor","41652","1887465006"
"Al Qā‘idah","Al Qa`idah","13.7569","44.1392","Yemen","YE","YEM","Ibb","","39254","1887959673"
"Yarīm","Yarim","14.2978","44.3778","Yemen","YE","YEM","Ibb","minor","34805","1887851991"
"Ja‘ār","Ja`ar","13.2167","45.3000","Yemen","YE","YEM","Abyan","minor","29495","1887726452"
"Ma‘bar","Ma`bar","14.7939","44.2936","Yemen","YE","YEM","Dhamār","minor","24707","1887814519"
"Jiblah","Jiblah","13.9167","44.1500","Yemen","YE","YEM","Ibb","minor","15431","1887050093"
"Ad Dīs","Ad Dis","14.9100","49.9920","Yemen","YE","YEM","Ḩaḑramawt","","16614","1887279052"
"Khamir","Khamir","15.9900","43.9500","Yemen","YE","YEM","‘Amrān","minor","15333","1887000562"
"Mocha","Mocha","13.3167","43.2500","Yemen","YE","YEM","Ta‘izz","minor","14562","1887487308"
"Raydah","Raydah","15.8233","44.0386","Yemen","YE","YEM","‘Amrān","minor","13971","1887086285"
"Shibām","Shibam","15.9269","48.6267","Yemen","YE","YEM","Ḩaḑramawt","","13316","1887765734"
"Ar Rawḑah","Ar Rawdah","14.4800","47.2700","Yemen","YE","YEM","Shabwah","minor","6649","1887271386"
"Ḑawrān ad Daydah","Dawran ad Daydah","14.7608","44.1904","Yemen","YE","YEM","Dhamār","minor","5695","1887892367"
