"Harare","Harare","-17.8292","31.0522","Zimbabwe","ZW","ZWE","Harare","primary","2150000","1716196799"
"Bulawayo","Bulawayo","-20.1667","28.5667","Zimbabwe","ZW","ZWE","Bulawayo","admin","653337","1716032632"
"Chitungwiza","Chitungwiza","-18.0000","31.1000","Zimbabwe","ZW","ZWE","Harare","","340360","1716688236"
"Mutare","Mutare","-18.9728","32.6694","Zimbabwe","ZW","ZWE","Manicaland","admin","188243","1716060405"
"Gweru","Gweru","-19.4580","29.8200","Zimbabwe","ZW","ZWE","Midlands","admin","141260","1716621481"
"Masvingo","Masvingo","-20.0744","30.8328","Zimbabwe","ZW","ZWE","Masvingo","admin","72527","1716049475"
"Chinhoyi","Chinhoyi","-17.3500","30.2000","Zimbabwe","ZW","ZWE","Mashonaland West","admin","56794","1716523245"
"Marondera","Marondera","-18.1833","31.5500","Zimbabwe","ZW","ZWE","Mashonaland East","admin","52283","1716375676"
"Bindura","Bindura","-17.3000","31.3333","Zimbabwe","ZW","ZWE","Mashonaland Central","admin","46275","1716331687"
"Gwanda","Gwanda","-20.9450","29.0250","Zimbabwe","ZW","ZWE","Matabeleland South","admin","14450","1716612305"
"Lupane","Lupane","-18.9315","27.8070","Zimbabwe","ZW","ZWE","Matabeleland North","admin","","1716206606"
"Kwekwe","Kwekwe","-18.9167","29.9833","Zimbabwe","ZW","ZWE","Midlands","","93072","1716327793"
"Kadoma","Kadoma","-18.3500","29.9167","Zimbabwe","ZW","ZWE","Mashonaland West","","79174","1716398005"
"Hwange","Hwange","-18.3647","26.5000","Zimbabwe","ZW","ZWE","Matabeleland North","","42581","1716416748"
"Beitbridge","Beitbridge","-22.2167","30.0000","Zimbabwe","ZW","ZWE","Matabeleland South","","41767","1716929295"
"Zvishavane","Zvishavane","-20.3333","30.0333","Zimbabwe","ZW","ZWE","Masvingo","","35229","1716895095"
"Victoria Falls","Victoria Falls","-17.9333","25.8333","Zimbabwe","ZW","ZWE","Matabeleland North","","33060","1716149447"
"Redcliff","Redcliff","-19.0333","29.7833","Zimbabwe","ZW","ZWE","Midlands","","32346","1716966753"
"Chiredzi","Chiredzi","-21.0496","31.6600","Zimbabwe","ZW","ZWE","Masvingo","","28205","1716636761"
"Karoi","Karoi","-16.8196","29.6800","Zimbabwe","ZW","ZWE","Mashonaland West","","25030","1716627056"
"Kariba","Kariba","-16.5333","28.8000","Zimbabwe","ZW","ZWE","Mashonaland West","","24210","1716563536"
"Ruwa","Ruwa","-17.8897","31.2447","Zimbabwe","ZW","ZWE","Mashonaland East","","22038","1716489136"
"Shamva","Shamva","-17.3196","31.5700","Zimbabwe","ZW","ZWE","Mashonaland Central","","10317","1716210091"
"Chivhu","Chivhu","-19.0196","30.8973","Zimbabwe","ZW","ZWE","Mashonaland East","","10263","1716626042"
"Plumtree","Plumtree","-20.4869","27.8042","Zimbabwe","ZW","ZWE","Matabeleland South","","2148","1716916272"
"Mazoe","Mazoe","-17.5196","30.9700","Zimbabwe","ZW","ZWE","Mashonaland Central","","9966","1716608716"
